sku_id,fecha,unidades_vendidas
SKU-001,2021-01-01,205
SKU-001,2021-02-01,228
SKU-001,2021-03-01,288
SKU-001,2021-04-01,305
SKU-001,2021-05-01,254
SKU-001,2021-06-01,238
SKU-001,2021-07-01,223
SKU-001,2021-08-01,180
SKU-001,2021-09-01,158
SKU-001,2021-10-01,139
SKU-001,2021-11-01,179
SKU-001,2021-12-01,210
SKU-001,2022-01-01,243
SKU-001,2022-02-01,302
SKU-001,2022-03-01,325
SKU-001,2022-04-01,320
SKU-001,2022-05-01,331
SKU-001,2022-06-01,285
SKU-001,2022-07-01,276
SKU-001,2022-08-01,226
SKU-001,2022-09-01,198
SKU-001,2022-10-01,183
SKU-001,2022-11-01,226
SKU-001,2022-12-01,238
SKU-001,2023-01-01,278
SKU-001,2023-02-01,322
SKU-001,2023-03-01,368
SKU-001,2023-04-01,380
SKU-001,2023-05-01,373
SKU-001,2023-06-01,348
SKU-001,2023-07-01,337
SKU-001,2023-08-01,262
SKU-001,2023-09-01,235
SKU-001,2023-10-01,223
SKU-001,2023-11-01,259
SKU-001,2023-12-01,299
SKU-001,2024-01-01,324
SKU-001,2024-02-01,357
SKU-001,2024-03-01,390
SKU-001,2024-04-01,426
SKU-001,2024-05-01,420
SKU-001,2024-06-01,392
SKU-001,2024-07-01,337
SKU-001,2024-08-01,314
SKU-001,2024-09-01,286
SKU-001,2024-10-01,281
SKU-001,2024-11-01,305
SKU-001,2024-12-01,328
SKU-001,2025-01-01,378
SKU-001,2025-02-01,413
SKU-001,2025-03-01,449
SKU-001,2025-04-01,468
SKU-001,2025-05-01,429
SKU-001,2025-06-01,421
SKU-001,2025-07-01,382
SKU-001,2025-08-01,343
SKU-001,2025-09-01,323
SKU-001,2025-10-01,342
SKU-001,2025-11-01,321
SKU-001,2025-12-01,381
SKU-002,2021-01-01,216
SKU-002,2021-02-01,246
SKU-002,2021-03-01,239
SKU-002,2021-04-01,207
SKU-002,2021-05-01,159
SKU-002,2021-06-01,110
SKU-002,2021-07-01,59
SKU-002,2021-08-01,44
SKU-002,2021-09-01,74
SKU-002,2021-10-01,98
SKU-002,2021-11-01,135
SKU-002,2021-12-01,186
SKU-002,2022-01-01,226
SKU-002,2022-02-01,256
SKU-002,2022-03-01,238
SKU-002,2022-04-01,208
SKU-002,2022-05-01,145
SKU-002,2022-06-01,102
SKU-002,2022-07-01,71
SKU-002,2022-08-01,46
SKU-002,2022-09-01,69
SKU-002,2022-10-01,92
SKU-002,2022-11-01,146
SKU-002,2022-12-01,195
SKU-002,2023-01-01,222
SKU-002,2023-02-01,256
SKU-002,2023-03-01,231
SKU-002,2023-04-01,200
SKU-002,2023-05-01,156
SKU-002,2023-06-01,105
SKU-002,2023-07-01,71
SKU-002,2023-08-01,49
SKU-002,2023-09-01,58
SKU-002,2023-10-01,99
SKU-002,2023-11-01,130
SKU-002,2023-12-01,183
SKU-002,2024-01-01,221
SKU-002,2024-02-01,238
SKU-002,2024-03-01,241
SKU-002,2024-04-01,189
SKU-002,2024-05-01,145
SKU-002,2024-06-01,116
SKU-002,2024-07-01,59
SKU-002,2024-08-01,59
SKU-002,2024-09-01,52
SKU-002,2024-10-01,98
SKU-002,2024-11-01,139
SKU-002,2024-12-01,196
SKU-002,2025-01-01,247
SKU-002,2025-02-01,229
SKU-002,2025-03-01,242
SKU-002,2025-04-01,203
SKU-002,2025-05-01,143
SKU-002,2025-06-01,83
SKU-002,2025-07-01,64
SKU-002,2025-08-01,44
SKU-002,2025-09-01,66
SKU-002,2025-10-01,100
SKU-002,2025-11-01,169
SKU-002,2025-12-01,197
SKU-003,2021-01-01,9
SKU-003,2021-02-01,0
SKU-003,2021-03-01,5
SKU-003,2021-04-01,0
SKU-003,2021-05-01,9
SKU-003,2021-06-01,6
SKU-003,2021-07-01,8
SKU-003,2021-08-01,0
SKU-003,2021-09-01,8
SKU-003,2021-10-01,0
SKU-003,2021-11-01,0
SKU-003,2021-12-01,6
SKU-003,2022-01-01,0
SKU-003,2022-02-01,6
SKU-003,2022-03-01,0
SKU-003,2022-04-01,0
SKU-003,2022-05-01,0
SKU-003,2022-06-01,9
SKU-003,2022-07-01,0
SKU-003,2022-08-01,0
SKU-003,2022-09-01,0
SKU-003,2022-10-01,0
SKU-003,2022-11-01,0
SKU-003,2022-12-01,6
SKU-003,2023-01-01,9
SKU-003,2023-02-01,0
SKU-003,2023-03-01,0
SKU-003,2023-04-01,5
SKU-003,2023-05-01,0
SKU-003,2023-06-01,0
SKU-003,2023-07-01,5
SKU-003,2023-08-01,0
SKU-003,2023-09-01,6
SKU-003,2023-10-01,0
SKU-003,2023-11-01,5
SKU-003,2023-12-01,0
SKU-003,2024-01-01,0
SKU-003,2024-02-01,0
SKU-003,2024-03-01,10
SKU-003,2024-04-01,0
SKU-003,2024-05-01,10
SKU-003,2024-06-01,6
SKU-003,2024-07-01,0
SKU-003,2024-08-01,0
SKU-003,2024-09-01,0
SKU-003,2024-10-01,0
SKU-003,2024-11-01,5
SKU-003,2024-12-01,0
SKU-003,2025-01-01,8
SKU-003,2025-02-01,0
SKU-003,2025-03-01,8
SKU-003,2025-04-01,0
SKU-003,2025-05-01,8
SKU-003,2025-06-01,6
SKU-003,2025-07-01,0
SKU-003,2025-08-01,0
SKU-003,2025-09-01,0
SKU-003,2025-10-01,0
SKU-003,2025-11-01,0
SKU-003,2025-12-01,0
SKU-004,2021-01-01,97
SKU-004,2021-02-01,102
SKU-004,2021-03-01,95
SKU-004,2021-04-01,77
SKU-004,2021-05-01,363
SKU-004,2021-06-01,101
SKU-004,2021-07-01,118
SKU-004,2021-08-01,141
SKU-004,2021-09-01,135
SKU-004,2021-10-01,130
SKU-004,2021-11-01,137
SKU-004,2021-12-01,140
SKU-004,2022-01-01,110
SKU-004,2022-02-01,101
SKU-004,2022-03-01,108
SKU-004,2022-04-01,98
SKU-004,2022-05-01,109
SKU-004,2022-06-01,110
SKU-004,2022-07-01,-28
SKU-004,2022-08-01,120
SKU-004,2022-09-01,137
SKU-004,2022-10-01,138
SKU-004,2022-11-01,125
SKU-004,2022-12-01,114
SKU-004,2023-01-01,127
SKU-004,2023-02-01,106
SKU-004,2023-03-01,92
SKU-004,2023-04-01,99
SKU-004,2023-05-01,114
SKU-004,2023-06-01,87
SKU-004,2023-07-01,105
SKU-004,2023-08-01,121
SKU-004,2023-09-01,152
SKU-004,2023-10-01,143
SKU-004,2023-11-01,343
SKU-004,2023-12-01,119
SKU-004,2024-01-01,109
SKU-004,2024-02-01,114
SKU-004,2024-03-01,103
SKU-004,2024-04-01,105
SKU-004,2024-05-01,101
SKU-004,2024-06-01,113
SKU-004,2024-07-01,122
SKU-004,2024-08-01,138
SKU-004,2024-09-01,145
SKU-004,2024-10-01,124
SKU-004,2024-11-01,115
SKU-004,2024-12-01,140
SKU-004,2025-01-01,132
SKU-004,2025-02-01,-23
SKU-004,2025-03-01,84
SKU-004,2025-04-01,101
SKU-004,2025-05-01,324
SKU-004,2025-06-01,128
SKU-004,2025-07-01,365
SKU-004,2025-08-01,126
SKU-004,2025-09-01,128
SKU-004,2025-10-01,140
SKU-004,2025-11-01,317
SKU-004,2025-12-01,120
SKU-005,2021-01-01,181
